Seq1	Seq2	Tot Score	Tot Energy	Max Score	Max Energy	Strand	Len1	Len2	Positions
asu-miR-5354-5p	AgB08X_g024_t09	358.00	-71.43	210.00	-49.09	265423	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t10	358.00	-71.43	210.00	-49.09	265425	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t11	358.00	-71.43	210.00	-49.09	265427	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t12	358.00	-71.43	210.00	-49.09	265429	24	9318	 2300 1993
asu-miR-5354-5p	AgB08X_g024_t13	358.00	-71.43	210.00	-49.09	265430	24	9121	 2103 1796
asu-miR-100a-2-3p	AgB02_g120_t01	634.00	-97.54	205.00	-52.61	234701	23	9906	 7208 9826 5195 4960
asu-miR-100a-2-3p	AgB02_g120_t02	634.00	-97.54	205.00	-52.61	234702	23	9906	 7208 9826 5195 4960
asu-miR-100a-2-3p	AgB02_g120_t04	634.00	-97.54	205.00	-52.61	234704	23	9906	 7208 9826 5195 4960
asu-miR-100a-2-3p	AgB02_g120_t07	634.00	-97.54	205.00	-52.61	234706	23	9906	 7208 9826 5195 4960
asu-miR-36b-5p	AgB08X_g024_t01	672.00	-109.23	205.00	-48.41	341561	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t02	672.00	-109.23	205.00	-48.41	341562	23	9121	 3166 3937 4831 7643
asu-miR-36b-5p	AgB08X_g024_t03	672.00	-109.23	205.00	-48.41	341564	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t04	672.00	-109.23	205.00	-48.41	341566	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t05	672.00	-109.23	205.00	-48.41	341569	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t06	672.00	-109.23	205.00	-48.41	341571	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t07	672.00	-109.23	205.00	-48.41	341572	23	9121	 3166 3937 4831 7643
asu-miR-36b-5p	AgB08X_g024_t08	672.00	-109.23	205.00	-48.41	341573	23	9121	 3166 3937 4831 7643
asu-miR-36b-5p	AgB08X_g024_t09	672.00	-109.23	205.00	-48.41	341575	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t10	672.00	-109.23	205.00	-48.41	341577	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t11	672.00	-109.23	205.00	-48.41	341579	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t12	672.00	-109.23	205.00	-48.41	341581	23	9318	 3363 4134 5028 7840
asu-miR-36b-5p	AgB08X_g024_t13	672.00	-109.23	205.00	-48.41	341582	23	9121	 3166 3937 4831 7643
asu-miR-36c-5p	AgR020_g211_t01	382.00	-80.23	205.00	-45.67	43671	23	1899	 1581 1139
asu-miR-36c-5p	AgR020_g211_t02	382.00	-80.23	205.00	-45.67	43672	23	1899	 1581 1139
asu-miR-36c-5p	AgR020_g211_t03	382.00	-80.23	205.00	-45.67	43673	23	1899	 1581 1139
asu-miR-36d-5p	AgR020_g211_t01	378.00	-78.03	205.00	-49.37	195975	23	1899	 1139 1581
asu-miR-36d-5p	AgR020_g211_t02	378.00	-78.03	205.00	-49.37	195976	23	1899	 1139 1581
asu-miR-36d-5p	AgR020_g211_t03	378.00	-78.03	205.00	-49.37	195977	23	1899	 1139 1581
asu-miR-36f-3p	AgR033_g118_t01	382.00	-81.25	205.00	-49.65	209682	23	3885	 3231 2931
asu-miR-36f-3p	AgR033_g118_t02	382.00	-81.25	205.00	-49.65	209683	23	3885	 3231 2931
asu-miR-36f-3p	AgR033_g118_t03	382.00	-81.25	205.00	-49.65	209684	23	2848	 2194 1894
asu-miR-36f-3p	AgR033_g118_t04	382.00	-81.25	205.00	-49.65	209685	23	3885	 3231 2931
asu-miR-36f-3p	AgR033_g118_t05	382.00	-81.25	205.00	-49.65	209686	23	3885	 3231 2931
asu-miR-36f-3p	AgR033_g118_t06	382.00	-81.25	205.00	-49.65	209687	23	2848	 2194 1894
asu-miR-36f-5p	AgR033_g118_t01	354.00	-65.62	205.00	-43.88	133530	23	3885	 3277 2977
asu-miR-36f-5p	AgR033_g118_t02	354.00	-65.62	205.00	-43.88	133531	23	3885	 3277 2977
asu-miR-36f-5p	AgR033_g118_t03	354.00	-65.62	205.00	-43.88	133532	23	2848	 2240 1940
asu-miR-36f-5p	AgR033_g118_t04	354.00	-65.62	205.00	-43.88	133533	23	3885	 3277 2977
asu-miR-36f-5p	AgR033_g118_t05	354.00	-65.62	205.00	-43.88	133534	23	3885	 3277 2977
asu-miR-36f-5p	AgR033_g118_t06	354.00	-65.62	205.00	-43.88	133535	23	2848	 2240 1940
asu-miR-43a-3p	AgB08X_g024_t01	669.00	-101.26	205.00	-43.67	36953	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t02	669.00	-101.26	205.00	-43.67	36954	23	9121	 2565 5431 7712 8801
asu-miR-43a-3p	AgB08X_g024_t03	669.00	-101.26	205.00	-43.67	36956	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t04	669.00	-101.26	205.00	-43.67	36958	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t05	669.00	-101.26	205.00	-43.67	36961	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t06	669.00	-101.26	205.00	-43.67	36963	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t07	669.00	-101.26	205.00	-43.67	36964	23	9121	 2565 5431 7712 8801
asu-miR-43a-3p	AgB08X_g024_t08	669.00	-101.26	205.00	-43.67	36965	23	9121	 2565 5431 7712 8801
asu-miR-43a-3p	AgB08X_g024_t09	669.00	-101.26	205.00	-43.67	36967	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t10	669.00	-101.26	205.00	-43.67	36969	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t11	669.00	-101.26	205.00	-43.67	36971	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t12	669.00	-101.26	205.00	-43.67	36973	23	9318	 2762 5628 7909 8998
asu-miR-43a-3p	AgB08X_g024_t13	669.00	-101.26	205.00	-43.67	36974	23	9121	 2565 5431 7712 8801
asu-miR-43b-5p	AgE28_g004_t01	507.00	-106.30	205.00	-51.90	74272	23	7801	 6647 6200 283
asu-miR-43b-5p	AgE28_g004_t02	507.00	-106.30	205.00	-51.90	74275	23	7873	 6719 6272 355
asu-miR-43b-5p	AgE28_g004_t03	507.00	-106.30	205.00	-51.90	74276	23	7801	 6647 6200 283
asu-miR-43b-5p	AgE28_g004_t04	507.00	-106.30	205.00	-51.90	74278	23	7873	 6719 6272 355
asu-miR-72-3p	AgR040X_g084_t01	205.00	-47.61	205.00	-47.61	214642	23	4763	 3825
asu-miR-72-3p	AgR040X_g084_t02	205.00	-47.61	205.00	-47.61	214643	23	4763	 3825
asu-miR-72-5p	AgR040X_g084_t01	205.00	-44.41	205.00	-44.41	366946	23	4763	 3864
asu-miR-72-5p	AgR040X_g084_t02	205.00	-44.41	205.00	-44.41	366947	23	4763	 3864
asu-miR-100b-5p	AgB02_g120_t01	501.00	-79.27	202.00	-42.08	6245	24	9906	 7242 2970 6771
asu-miR-100b-5p	AgB02_g120_t02	501.00	-79.27	202.00	-42.08	6246	24	9906	 7242 2970 6771
asu-miR-100b-5p	AgB02_g120_t04	501.00	-79.27	202.00	-42.08	6248	24	9906	 7242 2970 6771
asu-miR-100b-5p	AgB02_g120_t07	501.00	-79.27	202.00	-42.08	6250	24	9906	 7242 2970 6771
asu-let-7-3p	AgB02_g120_t01	343.00	-68.14	200.00	-49.08	234701	22	9906	 7005 1339
asu-let-7-3p	AgB02_g120_t02	343.00	-68.14	200.00	-49.08	234702	22	9906	 7005 1339
asu-let-7-3p	AgB02_g120_t04	343.00	-68.14	200.00	-49.08	234704	22	9906	 7005 1339
asu-let-7-3p	AgB02_g120_t07	343.00	-68.14	200.00	-49.08	234706	22	9906	 7005 1339
asu-let-7-5p	AgB02_g120_t01	200.00	-39.30	200.00	-39.30	387005	22	9906	 7050
asu-let-7-5p	AgB02_g120_t02	200.00	-39.30	200.00	-39.30	387006	22	9906	 7050
asu-let-7-5p	AgB02_g120_t04	200.00	-39.30	200.00	-39.30	387008	22	9906	 7050
asu-let-7-5p	AgB02_g120_t07	200.00	-39.30	200.00	-39.30	387010	22	9906	 7050
asu-miR-1-5p	AgR029_g042_t01	341.00	-52.98	200.00	-40.16	205457	22	5977	 5378 3529
asu-miR-236-3p	AgR015_g212_t01	200.00	-38.97	200.00	-38.97	191082	22	4231	 4107
asu-miR-236-3p	AgR015_g212_t02	200.00	-38.97	200.00	-38.97	191084	22	4231	 4107
asu-miR-236-3p	AgR015_g212_t03	200.00	-38.97	200.00	-38.97	191085	22	4615	 4491
asu-miR-236-3p	AgR015_g212_t04	200.00	-38.97	200.00	-38.97	191087	22	4231	 4107
asu-miR-236-3p	AgR015_g212_t05	200.00	-38.97	200.00	-38.97	191088	22	4615	 4491
asu-miR-236-3p	AgR015_g212_t06	200.00	-38.97	200.00	-38.97	191090	22	4231	 4107
asu-miR-236-3p	AgR015_g212_t07	200.00	-38.97	200.00	-38.97	191092	22	4231	 4107
asu-miR-279b-3p	AgE28_g004_t01	519.00	-102.76	200.00	-42.51	150424	22	7801	 6437 7154 6025
asu-miR-279b-3p	AgE28_g004_t02	519.00	-102.76	200.00	-42.51	150427	22	7873	 6509 7226 6097
asu-miR-279b-3p	AgE28_g004_t03	519.00	-102.76	200.00	-42.51	150428	22	7801	 6437 7154 6025
asu-miR-279b-3p	AgE28_g004_t04	519.00	-102.76	200.00	-42.51	150430	22	7873	 6509 7226 6097
asu-miR-279b-5p	AgE28_g004_t01	346.00	-55.68	200.00	-41.43	150424	22	7801	 6473 5130
asu-miR-279b-5p	AgE28_g004_t02	346.00	-55.68	200.00	-41.43	150427	22	7873	 6545 5202
asu-miR-279b-5p	AgE28_g004_t03	346.00	-55.68	200.00	-41.43	150428	22	7801	 6473 5130
asu-miR-279b-5p	AgE28_g004_t04	346.00	-55.68	200.00	-41.43	150430	22	7873	 6545 5202
asu-miR-2b-3p	AgR001_g459_t03	200.00	-44.03	200.00	-44.03	385828	22	3368	 1066
asu-miR-2b-3p	AgR001_g459_t04	200.00	-44.03	200.00	-44.03	385829	22	3368	 1066
asu-miR-2b-3p	AgR001_g459_t05	200.00	-44.03	200.00	-44.03	385830	22	3368	 1066
asu-miR-2b-5p	AgR001_g459_t03	200.00	-37.65	200.00	-37.65	309676	22	3368	 1102
asu-miR-2b-5p	AgR001_g459_t04	200.00	-37.65	200.00	-37.65	309677	22	3368	 1102
asu-miR-2b-5p	AgR001_g459_t05	200.00	-37.65	200.00	-37.65	309678	22	3368	 1102
asu-miR-36b-3p	AgB08X_g024_t01	341.00	-59.96	200.00	-40.80	341561	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t02	341.00	-59.96	200.00	-40.80	341562	22	9121	 3129 3234
asu-miR-36b-3p	AgB08X_g024_t03	341.00	-59.96	200.00	-40.80	341564	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t04	341.00	-59.96	200.00	-40.80	341566	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t05	341.00	-59.96	200.00	-40.80	341569	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t06	341.00	-59.96	200.00	-40.80	341571	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t07	341.00	-59.96	200.00	-40.80	341572	22	9121	 3129 3234
asu-miR-36b-3p	AgB08X_g024_t08	341.00	-59.96	200.00	-40.80	341573	22	9121	 3129 3234
asu-miR-36b-3p	AgB08X_g024_t09	341.00	-59.96	200.00	-40.80	341575	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t10	341.00	-59.96	200.00	-40.80	341577	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t11	341.00	-59.96	200.00	-40.80	341579	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t12	341.00	-59.96	200.00	-40.80	341581	22	9318	 3326 3431
asu-miR-36b-3p	AgB08X_g024_t13	341.00	-59.96	200.00	-40.80	341582	22	9121	 3129 3234
asu-miR-36c-3p	AgR020_g211_t01	384.00	-93.52	200.00	-51.07	195975	22	1899	 1544 1104
asu-miR-36c-3p	AgR020_g211_t02	384.00	-93.52	200.00	-51.07	195976	22	1899	 1544 1104
asu-miR-36c-3p	AgR020_g211_t03	384.00	-93.52	200.00	-51.07	195977	22	1899	 1544 1104
asu-miR-36d-3p	AgR020_g211_t01	384.00	-91.23	200.00	-48.57	272127	22	1899	 1104 1544
asu-miR-36d-3p	AgR020_g211_t02	384.00	-91.23	200.00	-48.57	272128	22	1899	 1104 1544
asu-miR-36d-3p	AgR020_g211_t03	384.00	-91.23	200.00	-48.57	272129	22	1899	 1104 1544
asu-miR-43b-3p	AgE28_g004_t01	528.00	-84.37	200.00	-38.46	74272	22	7801	 6612 6165 464
asu-miR-43b-3p	AgE28_g004_t02	528.00	-84.37	200.00	-38.46	74275	22	7873	 6684 6237 536
asu-miR-43b-3p	AgE28_g004_t03	528.00	-84.37	200.00	-38.46	74276	22	7801	 6612 6165 464
asu-miR-43b-3p	AgE28_g004_t04	528.00	-84.37	200.00	-38.46	74278	22	7873	 6684 6237 536
asu-miR-43c-3p	AgE28_g004_t01	528.00	-80.84	200.00	-36.70	302728	22	7801	 6612 6165 464
asu-miR-43c-3p	AgE28_g004_t02	528.00	-80.84	200.00	-36.70	302731	22	7873	 6684 6237 536
asu-miR-43c-3p	AgE28_g004_t03	528.00	-80.84	200.00	-36.70	302732	22	7801	 6612 6165 464
asu-miR-43c-3p	AgE28_g004_t04	528.00	-80.84	200.00	-36.70	302734	22	7873	 6684 6237 536
asu-miR-43e-3p	AgE28_g004_t01	534.00	-89.77	200.00	-39.67	74272	22	7801	 6165 6612 590
asu-miR-43e-3p	AgE28_g004_t02	534.00	-89.77	200.00	-39.67	74275	22	7873	 6237 6684 662
asu-miR-43e-3p	AgE28_g004_t03	534.00	-89.77	200.00	-39.67	74276	22	7801	 6165 6612 590
asu-miR-43e-3p	AgE28_g004_t04	534.00	-89.77	200.00	-39.67	74278	22	7873	 6237 6684 662
asu-miR-44a-5p	AgB08X_g024_t01	200.00	-45.46	200.00	-45.46	341561	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t02	200.00	-45.46	200.00	-45.46	341562	22	9121	 2451
asu-miR-44a-5p	AgB08X_g024_t03	200.00	-45.46	200.00	-45.46	341564	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t04	200.00	-45.46	200.00	-45.46	341566	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t05	200.00	-45.46	200.00	-45.46	341569	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t06	200.00	-45.46	200.00	-45.46	341571	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t07	200.00	-45.46	200.00	-45.46	341572	22	9121	 2451
asu-miR-44a-5p	AgB08X_g024_t08	200.00	-45.46	200.00	-45.46	341573	22	9121	 2451
asu-miR-44a-5p	AgB08X_g024_t09	200.00	-45.46	200.00	-45.46	341575	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t10	200.00	-45.46	200.00	-45.46	341577	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t11	200.00	-45.46	200.00	-45.46	341579	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t12	200.00	-45.46	200.00	-45.46	341581	22	9318	 2648
asu-miR-44a-5p	AgB08X_g024_t13	200.00	-45.46	200.00	-45.46	341582	22	9121	 2451
asu-miR-49-3p	AgB08X_g296_t01	200.00	-40.89	200.00	-40.89	114106	22	6954	 5117
asu-miR-49-3p	AgB08X_g296_t02	200.00	-40.89	200.00	-40.89	114107	22	6954	 5117
asu-miR-49-3p	AgB08X_g296_t03	200.00	-40.89	200.00	-40.89	114108	22	7028	 5191
asu-miR-49-3p	AgB08X_g296_t04	200.00	-40.89	200.00	-40.89	114109	22	7078	 5241
asu-miR-49-3p	AgB08X_g296_t05	200.00	-40.89	200.00	-40.89	114110	22	6954	 5117
asu-miR-5349-3p	AgR020_g211_t01	200.00	-50.02	200.00	-50.02	43671	22	1899	 1431
asu-miR-5349-3p	AgR020_g211_t02	200.00	-50.02	200.00	-50.02	43672	22	1899	 1431
asu-miR-5349-3p	AgR020_g211_t03	200.00	-50.02	200.00	-50.02	43673	22	1899	 1431
asu-miR-5349-5p	AgR020_g211_t01	200.00	-48.51	200.00	-48.51	272127	22	1899	 1466
asu-miR-5349-5p	AgR020_g211_t02	200.00	-48.51	200.00	-48.51	272128	22	1899	 1466
asu-miR-5349-5p	AgR020_g211_t03	200.00	-48.51	200.00	-48.51	272129	22	1899	 1466
asu-miR-5350a-3p	AgR020_g211_t01	341.00	-63.69	200.00	-39.99	424431	22	1899	 1286 1431
asu-miR-5350a-3p	AgR020_g211_t02	341.00	-63.69	200.00	-39.99	424432	22	1899	 1286 1431
asu-miR-5350a-3p	AgR020_g211_t03	341.00	-63.69	200.00	-39.99	424433	22	1899	 1286 1431
asu-miR-5350a-5p	AgR020_g211_t01	200.00	-37.42	200.00	-37.42	195975	22	1899	 1321
asu-miR-5350a-5p	AgR020_g211_t02	200.00	-37.42	200.00	-37.42	195976	22	1899	 1321
asu-miR-5350a-5p	AgR020_g211_t03	200.00	-37.42	200.00	-37.42	195977	22	1899	 1321
asu-miR-5350b-3p	AgR033_g118_t01	554.00	-102.65	200.00	-43.91	133530	22	3885	 3408 3113 2819
asu-miR-5350b-3p	AgR033_g118_t02	554.00	-102.65	200.00	-43.91	133531	22	3885	 3408 3113 2819
asu-miR-5350b-3p	AgR033_g118_t03	554.00	-102.65	200.00	-43.91	133532	22	2848	 2371 2076 1782
asu-miR-5350b-3p	AgR033_g118_t04	554.00	-102.65	200.00	-43.91	133533	22	3885	 3408 3113 2819
asu-miR-5350b-3p	AgR033_g118_t05	554.00	-102.65	200.00	-43.91	133534	22	3885	 3408 3113 2819
asu-miR-5350b-3p	AgR033_g118_t06	554.00	-102.65	200.00	-43.91	133535	22	2848	 2371 2076 1782
asu-miR-5350b-5p	AgR033_g118_t01	364.00	-74.42	200.00	-39.52	361986	22	3885	 3443 3148
asu-miR-5350b-5p	AgR033_g118_t02	364.00	-74.42	200.00	-39.52	361987	22	3885	 3443 3148
asu-miR-5350b-5p	AgR033_g118_t03	364.00	-74.42	200.00	-39.52	361988	22	2848	 2406 2111
asu-miR-5350b-5p	AgR033_g118_t04	364.00	-74.42	200.00	-39.52	361989	22	3885	 3443 3148
asu-miR-5350b-5p	AgR033_g118_t05	364.00	-74.42	200.00	-39.52	361990	22	3885	 3443 3148
asu-miR-5350b-5p	AgR033_g118_t06	364.00	-74.42	200.00	-39.52	361991	22	2848	 2406 2111
asu-miR-5350c-3p	AgR033_g118_t01	560.00	-107.26	200.00	-47.33	209682	22	3885	 3113 2819 3408
asu-miR-5350c-3p	AgR033_g118_t02	560.00	-107.26	200.00	-47.33	209683	22	3885	 3113 2819 3408
asu-miR-5350c-3p	AgR033_g118_t03	560.00	-107.26	200.00	-47.33	209684	22	2848	 2076 1782 2371
asu-miR-5350c-3p	AgR033_g118_t04	560.00	-107.26	200.00	-47.33	209685	22	3885	 3113 2819 3408
asu-miR-5350c-3p	AgR033_g118_t05	560.00	-107.26	200.00	-47.33	209686	22	3885	 3113 2819 3408
asu-miR-5350c-3p	AgR033_g118_t06	560.00	-107.26	200.00	-47.33	209687	22	2848	 2076 1782 2371
asu-miR-5350c-5p	AgR033_g118_t01	692.00	-128.94	200.00	-44.04	361986	22	3885	 3148 3443 2854 764
asu-miR-5350c-5p	AgR033_g118_t02	692.00	-128.94	200.00	-44.04	361987	22	3885	 3148 3443 2854 764
asu-miR-5350c-5p	AgR033_g118_t03	548.00	-114.08	200.00	-44.04	361988	22	2848	 2111 2406 1817
asu-miR-5350c-5p	AgR033_g118_t04	692.00	-128.94	200.00	-44.04	361989	22	3885	 3148 3443 2854 764
asu-miR-5350c-5p	AgR033_g118_t05	692.00	-128.94	200.00	-44.04	361990	22	3885	 3148 3443 2854 764
asu-miR-5350c-5p	AgR033_g118_t06	548.00	-114.08	200.00	-44.04	361991	22	2848	 2111 2406 1817
asu-miR-5354-3p	AgB08X_g024_t01	200.00	-42.89	200.00	-42.89	189257	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t02	200.00	-42.89	200.00	-42.89	189258	22	9121	 2063
asu-miR-5354-3p	AgB08X_g024_t03	200.00	-42.89	200.00	-42.89	189260	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t04	200.00	-42.89	200.00	-42.89	189262	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t05	200.00	-42.89	200.00	-42.89	189265	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t06	200.00	-42.89	200.00	-42.89	189267	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t07	200.00	-42.89	200.00	-42.89	189268	22	9121	 2063
asu-miR-5354-3p	AgB08X_g024_t08	200.00	-42.89	200.00	-42.89	189269	22	9121	 2063
asu-miR-5354-3p	AgB08X_g024_t09	200.00	-42.89	200.00	-42.89	189271	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t10	200.00	-42.89	200.00	-42.89	189273	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t11	200.00	-42.89	200.00	-42.89	189275	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t12	200.00	-42.89	200.00	-42.89	189277	22	9318	 2260
asu-miR-5354-3p	AgB08X_g024_t13	200.00	-42.89	200.00	-42.89	189278	22	9121	 2063
asu-miR-5361-3p	AgR031_g048_t01	200.00	-39.03	200.00	-39.03	284698	22	4440	 709
asu-miR-5361-3p	AgR031_g048_t02	200.00	-39.03	200.00	-39.03	284699	22	4440	 709
asu-miR-5361-3p	AgR031_g048_t03	200.00	-39.03	200.00	-39.03	284707	22	4566	 835
asu-miR-5361-3p	AgR031_g048_t04	200.00	-39.03	200.00	-39.03	284708	22	4440	 709
asu-miR-5361-3p	AgR031_g048_t05	200.00	-39.03	200.00	-39.03	284709	22	4440	 709
asu-miR-5361-3p	AgR031_g048_t06	200.00	-39.03	200.00	-39.03	284717	22	4566	 835
asu-miR-5361-3p	AgR031_g048_t07	200.00	-39.03	200.00	-39.03	284718	22	4440	 709
asu-miR-5361-3p	AgR031_g048_t08	200.00	-39.03	200.00	-39.03	284719	22	4440	 709
asu-miR-5361-5p	AgR031_g048_t01	200.00	-41.04	200.00	-41.04	208546	22	4440	 747
asu-miR-5361-5p	AgR031_g048_t02	200.00	-41.04	200.00	-41.04	208547	22	4440	 747
asu-miR-5361-5p	AgR031_g048_t03	200.00	-41.04	200.00	-41.04	208555	22	4566	 873
asu-miR-5361-5p	AgR031_g048_t04	200.00	-41.04	200.00	-41.04	208556	22	4440	 747
asu-miR-5361-5p	AgR031_g048_t05	200.00	-41.04	200.00	-41.04	208557	22	4440	 747
asu-miR-5361-5p	AgR031_g048_t06	200.00	-41.04	200.00	-41.04	208565	22	4566	 873
asu-miR-5361-5p	AgR031_g048_t07	200.00	-41.04	200.00	-41.04	208566	22	4440	 747
asu-miR-5361-5p	AgR031_g048_t08	200.00	-41.04	200.00	-41.04	208567	22	4440	 747
asu-miR-5366-3p	AgB01_g491_t02	200.00	-43.33	200.00	-43.33	230390	22	591	 350
asu-miR-5366-3p	AgB01_g491_t03	200.00	-43.33	200.00	-43.33	230393	22	591	 350
asu-miR-5366-5p	AgB01_g491_t02	200.00	-34.51	200.00	-34.51	154238	22	591	 386
asu-miR-5366-5p	AgB01_g491_t03	200.00	-34.51	200.00	-34.51	154241	22	591	 386
asu-miR-36e-5p	AgR020_g211_t01	366.00	-72.79	197.00	-41.95	195975	23	1899	 1581 1139
asu-miR-36e-5p	AgR020_g211_t02	366.00	-72.79	197.00	-41.95	195976	23	1899	 1581 1139
asu-miR-36e-5p	AgR020_g211_t03	366.00	-72.79	197.00	-41.95	195977	23	1899	 1581 1139
asu-miR-36e-3p	AgR020_g211_t01	376.00	-87.64	196.00	-48.13	43671	22	1899	 1544 1104
asu-miR-36e-3p	AgR020_g211_t02	376.00	-87.64	196.00	-48.13	43672	22	1899	 1544 1104
asu-miR-36e-3p	AgR020_g211_t03	376.00	-87.64	196.00	-48.13	43673	22	1899	 1544 1104
asu-miR-1-3p	AgR029_g042_t01	338.00	-46.39	195.00	-32.82	53153	21	5977	 5338 1521
asu-miR-43a-5p	AgB08X_g024_t01	195.00	-36.50	195.00	-36.50	113105	21	9318	 2804
asu-miR-43a-5p	AgB08X_g024_t02	195.00	-36.50	195.00	-36.50	113106	21	9121	 2607
asu-miR-43a-5p	AgB08X_g024_t03	195.00	-36.50	195.00	-36.50	113108	21	9318	 2804
asu-miR-43a-5p	AgB08X_g024_t04	195.00	-36.50	195.00	-36.50	113110	21	9318	 2804
